user_friendly_name;manufacturer_name;product_code_id;Identified Name;Refresh Rate;Size;Aspect Ratio;Lag;VRR Lag;Method;Source;Note
ROG PG258Q;AUS;25B1;ASUS ROG Swift PG258Q;240;24.5;1.78;2.9;?;smtt 2.0;https://www.tftcentral.co.uk/reviews/asus_rog_swift_pg258q.htm#lag;
XG258;AUS;25B3;Asus ROG Strix XG258Q;240;24.5;1.78;;;;no data;
VG279QM;AUS;278F;Asus TUF Gaming VG279QM;280;27.0;1.78;1.7;1.8;rtings;https://www.rtings.com/monitor/reviews/asus/vg279qm#page-test-results;
ASUS VP278;AUS;27AE;Asus VP278QG(L);75;27.0;1.78;;;;no data;
VG278;AUS;27AF;ASUS VG278HE;144;27.0;1.78;8.45;-1;smtt 2.0;https://www.tftcentral.co.uk/reviews/asus_vg278he.htm#gaming;
ROG PG278QR;AUS;27B1;ASUS ROG Swift PG278QR;165;27.0;1.78;;;;no data;
ASUS VZ279;AUS;27C0;Unidentifiable Asus VZ279 version;75;27.0;1.78;;;;;
ASUS XG32V;AUS;32B1;Asus XG32VQ;144;31.5;1.78;4.18;?;smtt 2.0;https://pcmonitors.info/reviews/asus-xg32vq/#Responsiveness;
ASUS VA326;AUS;32DA;Asus VA326HR;144;31.5;1.78;;;;no data;
ASUS XG49V;AUS;49A1;Asus ROG Strix XG49VQ;144;49.0;3.56;;;;no data;
RSGM-27M3C;AWA;2700;Rocksoul RSGM-27M3C;144;27.0;1.78;;;;no data;
NS43DR620NA18;BBY;4373;Insignia NS-43DR620NA18;60;43.0;1.78;;;;no data;
NS-PMG248;BBY;0248;Insignia NS-PMG248;144;24.0;1.78;;;;no data;
BenQ EW2775ZH;BNQ;7944;BenQ EW2775ZH;60;27.0;1.78;;;;no data;
BenQ EL2870U;BNQ;7949;BenQ EL2870U;60;28.0;1.78;8.8;9.7;rtings;https://www.rtings.com/monitor/reviews/benq/el2870u#page-test-results;
BenQ LCD;BNQ;8024;BenQ PD2700Q;60;27.0;1.78;34;-1;leobodnar;https://www.pcmag.com/reviews/benq-pd2700q-designer-monitor;
NV Surround;BNQ;78A5;BenQ GL2450HM;60;24.0;1.78;10;-1;leobodnar;https://displaylag.com/display-database/;
BenQ GL2450H;BNQ;78A7;BenQ GL2450H;75;24.0;1.78;10;;leobodnar;https://displaylag.com/display-database/;
BenQ GL2023;BNQ;78CC;BenQ GL2023A;60;19.5;1.78;;;;no data;
