user_friendly_name;manufacturer_name;product_code_id;Identified Name;Refresh Rate;Size;Aspect Ratio;Lag;VRR Lag;Method;Source;Note
EA223WM;NEC;6890;NEC MultiSync EA223WM;60;22.0;1.60;;;;no data;
NX-EDG34;NXG;0052;NX-EDG34S;144;34.0;2.33;4.3;4.5;rtings;https://www.rtings.com/monitor/reviews/nixeus/edg-34#page-test-results;
 45_LCD_TV;OEM;3700;Unidentifiable TV;60;45.0;1.78;;;;;
100002487;ONN;0101;Unidentifiable ONN 24 in monitor;60;24.0;1.78;;;;no data;
PHILIPS FTV;PHL;0000;Unidentifiable Philips TV;;;;;;;;
Philips 247EL;PHL;C084;Philips 247E3LSU/00;60;23.6;1.78;;;;no data;
248XLFH;PHL;C095;Philips LightFrame 2;60;23.4;1.78;;;;no data found;
Philips 200V4;PHL;C0BF;Philips 200V4QSBR/71;60;19.5;1.78;;;;no data;
PHL 242G5;PHL;C0C4;Philips 242G5DJEB/00;144;24.0;1.78;;;;no data;
PHL 246V5;PHL;C0C5;Unidentifiable Philips 246V5 version;60;24.0;1.78;;;;;
PHL 203V5;PHL;C0CE;Philips 203V5LSB26;60;19.5;1.78;;;;no data;
PHL 284E5;PHL;C0DE;Philips 284E5QHAD;60;28.0;1.78;29.7;-1;smtt 2.0;https://pcmonitors.info/reviews/philips-284e5qhad/#Responsiveness;
PHL 272G5;PHL;C0E2;Philips 272G5DYEB/00;144;27.0;1.78;3;?;smtt 2.0;https://pcmonitors.info/reviews/philips-272g5dyeb/#Responsiveness;
PHL 272G5DY;PHL;C0ED;Philips 272G5DYEB/00;144;27.0;1.78;3;?;smtt 2.0;https://pcmonitors.info/reviews/philips-272g5dyeb/#Responsiveness;
PHL 243V7;PHL;C155;Philips 243V7QDAB/00;75;23.8;1.78;;;;no data;
PHL 276E9Q;PHL;C17B;Unidentifiable Philips 276E9Q version;60;27.0;1.78;;;;;
LC32G7xT;SAM;7058;Samsung LC32G75TQSNXZA;240;31.5;1.78;2.7;3.1;rtings;https://www.rtings.com/monitor/reviews/samsung/odyssey-g7#page-test-results;
SyncMaster;SAM;0376;Samsung SyncMaster 2232BW;60;22.0;1.60;;;;no data;
SME1920W;SAM;06BE;Samsung SyncMaster E1920W;75;19.0;1.78;;;;no data;
SMBX2231;SAM;076D;Samsung SyncMaster BX2231;60;21.5;1.78;;;;no data;
SMS24A350H;SAM;07D6;Samsung SyncMaster S24A350H;60;24.0;1.78;;;;no data;
S24B300;SAM;08CC;Samsung SyncMaster S24B300;60;24.0;1.78;;;;no data found;
S22B350;SAM;08D4;Samsung SyncMaster S22B350H;60;22.0;1.78;;;;no data;
S23B350;SAM;08D6;Samsung SyncMaster S23B350;60;23.0;1.78;;;;no data;
S27B550;SAM;091B;Samsung SyncMaster S27B550V;60;27.0;1.78;;;;no data;
T22B350;SAM;0938;Samsung T22B350ND;60;21.5;1.78;30;-1;leobodnar;https://displaylag.com/display-database/;
SAMSUNG;SAM;0A7C;Unidentifiable Samsung TVs;60;18.5;1.78;;;;;
S22D300;SAM;0B3F;Samsung S22D300;60;21.5;1.78;;;;no data;
S22E310;SAM;0C2D;Samsung LS22E310HS/ZA;60;21.5;1.78;;;;no data;
SAMSUNG;SAM;0C39;Unidentifiable Samsung TVs;;;;;;;;
SAMSUNG;SAM;0C3C;Unidentifiable Samsung TVs;60;;1.78;;;;;
U28E590;SAM;0C4D;Samsung LU28E590DS/ZA;60;28.0;1.78;9;9.8;rtings;https://www.rtings.com/monitor/reviews/samsung/ue590#page-test-results;
S32E590C;SAM;0C59;Samsung LS32E590CS/EN;60;31.5;1.78;;;;no data;
S22F350;SAM;0D1A;Samsung LS22F350FHUXEN;60;22.0;1.78;;;;no data;
S24F350;SAM;0D20;Samsung S24F350F;60;23.5;1.78;;;;no data;
C27F390;SAM;0D32;Samsung LC27F390FHN;60;27.0;1.78;;;;no data;
C32F391;SAM;0D34;Samsung LC32F391FWUXEN;60;31.5;1.78;;;;no data;
C27F591;SAM;0D37;Samsung LC27F591FDNXZA;72;27.0;1.78;6.7;?;smtt 2.0;https://pcmonitors.info/reviews/samsung-c27f591fd/#Responsiveness;
SAMSUNG;SAM;0D3B;Unidentifiable Samsung TVs;60;;1.78;;;;;
C27F398;SAM;0D44;Samsung LC27F398FWUXEN;72;27.0;1.78;9.2;8;rtings;https://www.rtings.com/monitor/reviews/samsung/cf398#page-test-results;
U28E510;SAM;0D63;Samsung LU28E510DS/ZA;60;28.0;1.78;;;;no data;
S24D330;SAM;0D92;Samsung S24D330H;60;24.0;1.78;;;;no data;
CF791;SAM;0DC4;Samsung LC34F791WQNXZA;100;34.0;2.33;20.7;23.6;rtings;https://www.rtings.com/monitor/reviews/samsung/c34f791-cf791#page-test-results;
C27FG70;SAM;0DCA;Samsung LC27FG70FQUXEN;144;27.0;1.78;;;;no data;
S25HG5x;SAM;0DD5;Samsung LS25HG50FQUXEN;144;24.5;1.78;;;;no data;
C32HG7x;SAM;0E13;Samsung LC32HG70QQUXEN;144;31.5;1.78;4.4;4.2;rtings;https://www.rtings.com/monitor/reviews/samsung/chg70;
C32HG7x;SAM;0E14;Samsung LC32HG70QQUXEN;144;31.5;1.78;4.4;4.2;rtings;https://www.rtings.com/monitor/reviews/samsung/chg70;
C27HG7x;SAM;0E16;Samsung LC27HG70QQNXZA;144;26.9;1.78;4.4;4.2;rtings;https://www.rtings.com/monitor/reviews/samsung/chg70;
C27FG7x;SAM;0E41;Samsung LC27FG73FQUXEN;144;27.0;1.78;;;;no data;
C24FG7x;SAM;0E43;Samsung C24FG73FQU;144;23.6;1.78;4.14;?;smtt 2.0;https://pcmonitors.info/reviews/samsung-c24fg70/#Responsiveness;
C49HG9x;SAM;0E5E;Samsung C49HG90;144;49.0;3.56;4.6;4.6;rtings;https://www.rtings.com/monitor/reviews/samsung/c49hg90-chg90#page-test-results;
SAMSUNG;SAM;0F39;Unidentifiable Samsung;75;31.5;1.78;;;;;
C32JG5x;SAM;0F55;Samsung C32JG50QQU;144;27.0;1.78;4.3;-1;rtings;https://www.rtings.com/monitor/reviews/samsung/jg50;
C27JG5x;SAM;0F58;Samsung LC27JG50QQUXEN;144;27.0;1.78;4.3;-1;rtings;https://www.rtings.com/monitor/reviews/samsung/jg50;
S27E332;SAM;0F60;Samsung LS27E332HZX/UE;75;27.0;1.78;;;;no data;
C49RG9x;SAM;0F9C;Samsung LC49RG90SSUXEN;120;49.0;3.56;4.9;5.7;rtings;https://www.rtings.com/monitor/reviews/samsung/c49rg9-crg9#page-test-results;
LC27RG50;SAM;100A;Samsung LC27RG50FQMXZN;240;27.0;1.78;;;;no data;
LQ135P1JX51;SHP;14B3;Notebook monitor;60;13.5;1.50;;;;;
LQ156M1JW03;SHP;14C5;Laptop display;;;;;;;;
X270W-1080P;SPT;2701;Sceptre X270W-1080P;60;27.0;1.78;;;;;
Sceptre L24;SPT;098C;Sceptre C248B-144RN;144;24.0;1.78;;;;no data;
C24;SPT;09A7;Sceptre C248B-144R;144;23.6;1.78;;;;no data;
Sceptre M25;SPT;09FB;Sceptre E255B-1658A1;165;24.5;1.78;;;;no data;
Sceptre M25;SPT;0A05;Sceptre E255B-1658A;165;24.5;1.78;;;;no data;
Sceptre L27;SPT;0AB8;Sceptre C275B-144RN;144;27.0;1.78;;;;no data;
Internal LCD;TOS;508F;Notebook monitor;60;13.3;1.78;;;;;
24W_LCD_TV;VES;3700;Some Vestel 24 in TV;60;24.0;1.78;;;;;
D24-D1;VIZ;1005;VIZIO D24-D1;60;23.5;1.78;26.5;-1;leobodnar;https://www.rtings.com/tv/reviews/vizio/d-series-1080p-2016#page-test-results;
D32hn-E0;VIZ;1007;Vizio D32hn-E0;60;32.0;1.78;;;;;
VX240M;VIZ;0050;Vizio VX240M;60;24.0;1.78;;;;no data;
VX2758-P-MHD;VSC;5538;ViewSonic VX2758-P-MHD;144;27.0;1.78;;;;no data;
VX2458-mhd;VSC;0437;ViewSonic VX2458-MHD;144;24.0;1.78;;;;no data;
XG2702 SERIES;VSC;0935;ViewSonic Elite XG2702;144;27.0;1.78;;;;no data;
XG2402 SERIES;VSC;1B35;ViewSonic XG2402;144;24.0;1.78;4.1;4.3;rtings;https://www.rtings.com/monitor/reviews/viewsonic/xg2402#page-test-results;
VX2458 Series;VSC;36AF;ViewSonic VX2458-P(/C)-mhd unidentifiable;144;23.6;1.78;;;;;
XG240R SERIES;VSC;5A37;ViewSonic Elite XG240R;144;24.0;1.78;2.86;?;smtt 2.0;https://pcmonitors.info/reviews/viewsonic-xg240r/#Responsiveness;
XG2530 SERIES;VSC;A634;ViewSonic Elite XG2530;240;24.5;1.78;8.67;?;smtt 2.0;https://pcmonitors.info/reviews/viewsonic-xg2530/;
VX2458 Series;VSC;AF36;ViewSonic VX2458-P(/C)-mhd unidentifiable;144;23.6;1.78;;;;;
XG2703-GS;VSC;BA32;ViewSonic XG2703-GS;165;27.0;1.78;3.21;?;smtt 2.0;https://pcmonitors.info/reviews/viewsonic-xg2703-gs/#Responsiveness;
XG2401 SERIES;VSC;BB31;ViewSonic Elite XG2401;144;24.0;1.78;3.38;?;smtt 2.0;https://pcmonitors.info/reviews/viewsonic-xg2401/;
VA2719 Series;VSC;C132;ViewSonic VA2719-sh (/smh);60;27.0;1.78;;;;no data;
VA2431 Series;VSC;D824;Viewonic VA2431 Series;60;23.6;1.78;;;;no data found;
VX2252 Series;VSC;DC2E;ViewSonic VX2252mh;75;22.0;1.78;;;;no data;
XG270QG;VSC;F838;ViewSonic XG270QG;165;27.0;1.78;3.9;4.2;rtings;https://www.rtings.com/monitor/reviews/viewsonic/elite-xg270qg#page-test-results;
GFV22CB;VTK;0236;Viotek GFV22CB;144;22.0;1.78;;;;no data;
VIOTEK GN27DB;VTK;0270;Viotek GN27DB;144;27.0;1.78;;;;no data;
Cintiq 16;WAC;1064;Wacom DTK1660K0A;60;15.6;1.78;9.5;-1;leobodnar;https://www.pcmag.com/reviews/wacom-cintiq-16;
